team_id,league_id,name,abbr,short_name,former_names,city,country,arena,arena_capacity,founded_year,colours_primary_hex,colours_secondary_hex,colours_accent_hex,colours_source,mascot,owner,ownership_structure,wikidata_qid,wikipedia_en,official_url,as_of,source_url,confidence
nba_hawks_q140558,nba,Atlanta Hawks,ATL,Hawks,Tri-Cities Blackhawks|Milwaukee Hawks|St. Louis Hawks,Atlanta,US,State Farm Arena,16888,1946,,,,,Harry the Hawk,Tony Ressler,unknown,Q140558,Atlanta Hawks,https://www.nba.com/hawks,2026-09-19,https://www.wikidata.org/wiki/Q140558,HIGH
nba_hornets_q162954,nba,Charlotte Hornets,CHA,Hornets,Charlotte Bobcats,Charlotte,US,Spectrum Center,19077,1988,,,,,Hugo,Michael Jordan,unknown,Q162954,Charlotte Hornets,https://www.nba.com/hornets,2026-09-19,https://www.wikidata.org/wiki/Q162954,HIGH
nba_heat_q169138,nba,Miami Heat,MIA,Heat,,Miami,US,Kaseya Center,19600,1988,,,,,Burnie,Micky Arison,unknown,Q169138,Miami Heat,https://www.nba.com/heat,2026-09-19,https://www.wikidata.org/wiki/Q169138,HIGH
nba_magic_q180950,nba,Orlando Magic,ORL,Magic,,Orlando,US,Amway Center,18846,1989,,,,,Stuff the Magic Dragon,DeVos family,sole,Q180950,Orlando Magic,https://www.nba.com/magic,2026-09-19,https://www.wikidata.org/wiki/Q180950,HIGH
nba_wizards_q161337,nba,Washington Wizards,WAS,Wizards,Chicago Packers|Chicago Zephyrs|Baltimore Bullets|Capital Bullets|Washington Bullets,"Washington, D.C.",US,Capital One Arena,20356,1961,,,,,G-Wiz,Ted Leonsis,unknown,Q161337,Washington Wizards,https://www.nba.com/wizards,2026-09-19,https://www.wikidata.org/wiki/Q161337,HIGH
nba_nuggets_q165529,nba,Denver Nuggets,DEN,Nuggets,,Denver,US,Ball Arena,19520,1967,,,,,Rocky,Stan Kroenke,unknown,Q165529,Denver Nuggets,https://www.nba.com/nuggets,2026-09-19,https://www.wikidata.org/wiki/Q165529,HIGH
nba_timberwolves_q157376,nba,Minnesota Timberwolves,MIN,Timberwolves,,Minneapolis,US,Target Center,18978,1989,,,,,Crunch,Glen Taylor,unknown,Q157376,Minnesota Timberwolves,https://www.nba.com/timberwolves,2026-09-19,https://www.wikidata.org/wiki/Q157376,HIGH
nba_thunder_q180748,nba,Oklahoma City Thunder,OKC,Thunder,Seattle SuperSonics,Oklahoma City,US,Paycom Center,18203,1967,,,,,Rumble the Bison,Clayton Bennett,unknown,Q180748,Oklahoma City Thunder,https://www.nba.com/thunder,2026-09-19,https://www.wikidata.org/wiki/Q180748,HIGH
nba_blazers_q180950,nba,Portland Trail Blazers,POR,Blazers,,Portland,US,Moda Center,19393,1970,,,,,Blaze the Trail Cat,Jody Allen,unknown,Q180950,Portland Trail Blazers,https://www.nba.com/blazers,2026-09-19,https://www.wikidata.org/wiki/Q180950,HIGH
nba_jazz_q166105,nba,Utah Jazz,UTA,Jazz,New Orleans Jazz,Salt Lake City,US,Delta Center,18306,1974,,,,,Jazz Bear,Ryan Smith,unknown,Q166105,Utah Jazz,https://www.nba.com/jazz,2026-09-19,https://www.wikidata.org/wiki/Q166105,HIGH
nba_warriors_q169661,nba,Golden State Warriors,GSW,Warriors,Philadelphia Warriors|San Francisco Warriors,San Francisco,US,Chase Center,18064,1946,,,,,,Joe Lacob,unknown,Q169661,Golden State Warriors,https://www.nba.com/warriors,2026-09-19,https://www.wikidata.org/wiki/Q169661,HIGH
nba_clippers_q976893,nba,LA Clippers,LAC,Clippers,Buffalo Braves|San Diego Clippers,Los Angeles,US,Crypto.com Arena,19060,1970,,,,,Chuck the Condor,Steve Ballmer,unknown,Q976893,LA Clippers,https://www.nba.com/clippers,2026-09-19,https://www.wikidata.org/wiki/Q976893,HIGH
nba_lakers_q121661,nba,Los Angeles Lakers,LAL,Lakers,Minneapolis Lakers,Los Angeles,US,Crypto.com Arena,19060,1947,,,,,,Jeanie Buss,unknown,Q121661,Los Angeles Lakers,https://www.nba.com/lakers,2026-09-19,https://www.wikidata.org/wiki/Q121661,HIGH
nba_suns_q164177,nba,Phoenix Suns,PHX,Suns,,Phoenix,US,Footprint Center,18055,1968,,,,,Go the Gorilla,Mat Ishbia,unknown,Q164177,Phoenix Suns,https://www.nba.com/suns,2026-09-19,https://www.wikidata.org/wiki/Q164177,HIGH
nba_kings_q166105,nba,Sacramento Kings,SAC,Kings,Rochester Seagrams|Rochester Pros|Rochester Royals|Cincinnati Royals|Kansas City-Omaha Kings|Kansas City Kings,Sacramento,US,Golden 1 Center,17608,1923,,,,,Slamson,Vivek Ranadivé,unknown,Q166105,Sacramento Kings,https://www.nba.com/kings,2026-09-19,https://www.wikidata.org/wiki/Q166105,HIGH
nba_mavericks_q169542,nba,Dallas Mavericks,DAL,Mavericks,,Dallas,US,American Airlines Center,19200,1980,,,,,Champ,Mark Cuban,unknown,Q169542,Dallas Mavericks,https://www.nba.com/mavericks,2026-09-19,https://www.wikidata.org/wiki/Q169542,HIGH
nba_rockets_q160893,nba,Houston Rockets,HOU,Rockets,San Diego Rockets,Houston,US,Toyota Center,18055,1967,,,,,Clutch the Rocket Bear,Tilman Fertitta,unknown,Q160893,Houston Rockets,https://www.nba.com/rockets,2026-09-19,https://www.wikidata.org/wiki/Q160893,HIGH
nba_grizzlies_q169950,nba,Memphis Grizzlies,MEM,Grizzlies,Vancouver Grizzlies,Memphis,US,FedExForum,17794,1995,,,,,Grizz,Robert Pera,unknown,Q169950,Memphis Grizzlies,https://www.nba.com/grizzlies,2026-09-19,https://www.wikidata.org/wiki/Q169950,HIGH
nba_pelicans_q180950,nba,New Orleans Pelicans,NOP,Pelicans,New Orleans Hornets|New Orleans/Oklahoma City Hornets,New Orleans,US,Smoothie King Center,16867,2002,,,,,Pierre the Pelican,Gayle Benson,unknown,Q180950,New Orleans Pelicans,https://www.nba.com/pelicans,2026-09-19,https://www.wikidata.org/wiki/Q180950,HIGH
nba_spurs_q164177,nba,San Antonio Spurs,SAS,Spurs,Dallas Chaparrals|Texas Chaparrals,San Antonio,US,Frost Bank Center,18418,1967,,,,,The Coyote,Peter Holt,unknown,Q164177,San Antonio Spurs,https://www.nba.com/spurs,2026-09-19,https://www.wikidata.org/wiki/Q164177,HIGH
wnba_dream_q140558,wnba,Atlanta Dream,ATL,Dream,,Atlanta,US,Gateway Center Arena,3500,2008,,,,,,Larry Gottesdiener,unknown,Q140558,Atlanta Dream,https://dream.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q140558,HIGH
wnba_sky_q131371,wnba,Chicago Sky,CHI,Sky,,Chicago,US,Wintrust Arena,10387,2006,,,,,,Michael Alter,unknown,Q131371,Chicago Sky,https://sky.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q131371,HIGH
wnba_sun_q162990,wnba,Connecticut Sun,CON,Sun,Orlando Miracle,Uncasville,US,Mohegan Sun Arena,9323,1999,,,,,,Mohegan Tribe,municipal,Q162990,Connecticut Sun,https://sun.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q162990,HIGH
wnba_wings_q169637,wnba,Dallas Wings,DAL,Wings,Detroit Shock|Tulsa Shock,Dallas,US,College Park Center,7000,1998,,,,,,Bill Cameron,unknown,Q169637,Dallas Wings,https://wings.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q169637,HIGH
wnba_fever_q170329,wnba,Indiana Fever,IND,Fever,,Indianapolis,US,Gainbridge Fieldhouse,17923,2000,,,,,Freddy Fever,Herbert Simon,unknown,Q170329,Indiana Fever,https://fever.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q170329,HIGH
wnba_aces_q169165,wnba,Las Vegas Aces,LV,Aces,Utah Starzz|San Antonio Silver Stars|San Antonio Stars,Las Vegas,US,Michelob Ultra Arena,12000,1997,,,,,,Mark Davis,unknown,Q169165,Las Vegas Aces,https://aces.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q169165,HIGH
wnba_sparks_q1441324,wnba,Los Angeles Sparks,LA,Sparks,,Los Angeles,US,Crypto.com Arena,19060,1997,,,,,,Eric Holoman,unknown,Q1441324,Los Angeles Sparks,https://sparks.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q1441324,HIGH
wnba_lynx_q140558,wnba,Minnesota Lynx,MIN,Lynx,,Minneapolis,US,Target Center,18978,1999,,,,,,Glen Taylor,unknown,Q140558,Minnesota Lynx,https://lynx.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q140558,HIGH
wnba_liberty_q1426420,wnba,New York Liberty,NY,Liberty,,New York City,US,Barclays Center,17732,1997,,,,,Ellie the Elephant,Joseph Tsai,unknown,Q1426420,New York Liberty,https://liberty.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q1426420,HIGH
wnba_mercury_q162954,wnba,Phoenix Mercury,PHX,Mercury,,Phoenix,US,Footprint Center,18055,1997,,,,,,Mat Ishbia,unknown,Q162954,Phoenix Mercury,https://mercury.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q162954,HIGH
wnba_storm_q169138,wnba,Seattle Storm,SEA,Storm,,Seattle,US,Climate Pledge Arena,18100,2000,,,,,Doppler,Ginny Gilder,unknown,Q169138,Seattle Storm,https://storm.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q169138,HIGH
wnba_mystics_q180950,wnba,Washington Mystics,WAS,Mystics,,"Washington, D.C.",US,Entertainment and Sports Arena,4200,1998,,,,,Pax,Ted Leonsis,unknown,Q180950,Washington Mystics,https://mystics.wnba.com,2026-09-19,https://www.wikidata.org/wiki/Q180950,HIGH
euroleague_anadolu_efes,euroleague,Anadolu Efes Istanbul,AE,Anadolu Efes,,,TR,,,1976,,,,,,,,Q483738,Anadolu Efes S.K.,,2026-09-19,https://www.wikidata.org/wiki/Q483738,HIGH
euroleague_asvel,euroleague,LDLC ASVEL Villeurbanne,ASV,ASVEL,ASVEL BASKET,,FR,,,1948,,,,,,,,Q4089,ASVEL Basket,,2026-09-19,https://www.wikidata.org/wiki/Q4089,HIGH
euroleague_baskonia,euroleague,Baskonia Vitoria-Gasteiz,BAS,Baskonia,Club Deportivo Vasconia,,ES,,,1952,,,,,,,,Q54927,Saski Baskonia,,2026-09-19,https://www.wikidata.org/wiki/Q54927,HIGH
euroleague_besiktas,euroleague,Beşiktaş Istanbul,BEŞ,Beşiktaş,,,TR,,,1933,,,,,,,,Q854669,Beşiktaş J.K. (men's basketball),,2026-09-19,https://www.wikidata.org/wiki/Q854669,HIGH
euroleague_crvena_zvezda,euroleague,Crvena zvezda Meridianbet Belgrade,CZ,Crvena zvezda,,,RS,,,1945,,,,,,,,Q1132627,KK Crvena zvezda,,2026-09-19,https://www.wikidata.org/wiki/Q1132627,HIGH
euroleague_dubai,euroleague,Dubai Basketball,DUB,Dubai,,,,,,2024,,,,,,,,Q125293758,Dubai Basketball,,2026-09-19,https://www.wikidata.org/wiki/Q125293758,HIGH
euroleague_olimpia_milano,euroleague,EA7 Emporio Armani Milan,OM,Olimpia Milano,,,IT,,,1936,,,,,,,,Q36362,Olimpia Milano,,2026-09-19,https://www.wikidata.org/wiki/Q36362,HIGH
euroleague_barcelona,euroleague,FC Barcelona,BAR,Barcelona,,,ES,,,1926,,,,,,,,Q54893,FC Barcelona Bàsquet,,2026-09-19,https://www.wikidata.org/wiki/Q54893,HIGH
euroleague_bayern,euroleague,FC Bayern Munich,BAY,Bayern,,,DE,,,1946,,,,,,,,Q600149,FC Bayern Munich (basketball),,2026-09-19,https://www.wikidata.org/wiki/Q600149,HIGH
euroleague_fenerbahce,euroleague,Fenerbahçe Beko Istanbul,FEN,Fenerbahçe,,,TR,,,1913,,,,,,,,Q239447,Fenerbahçe S.K. (basketball),,2026-09-19,https://www.wikidata.org/wiki/Q239447,HIGH
euroleague_hapoel_tel_aviv,euroleague,Hapoel IBI Tel Aviv,HTA,Hapoel Tel Aviv,,,IL,,,1935,,,,,,,,Q2735525,Hapoel Tel Aviv B.C.,,2026-09-19,https://www.wikidata.org/wiki/Q2735525,HIGH
euroleague_maccabi_tel_aviv,euroleague,Maccabi Playtika Tel Aviv,MTA,Maccabi Tel Aviv,,,IL,,,1932,,,,,,,,Q819694,Maccabi Tel Aviv B.C.,,2026-09-19,https://www.wikidata.org/wiki/Q819694,HIGH
euroleague_olympiacos,euroleague,Olympiacos Piraeus,OLY,Olympiacos,,,GR,,,1931,,,,,,,,Q847701,Olympiacos B.C.,,2026-09-19,https://www.wikidata.org/wiki/Q847701,HIGH
euroleague_panathinaikos,euroleague,Panathinaikos AKTOR Athens,PAN,Panathinaikos,,,GR,,,1919,,,,,,,,Q739287,Panathinaikos B.C.,,2026-09-19,https://www.wikidata.org/wiki/Q739287,HIGH
euroleague_paris,euroleague,Paris Basketball,PAR,Paris,,,FR,,,2018,,,,,,,,Q56291131,Paris Basketball,,2026-09-19,https://www.wikidata.org/wiki/Q56291131,HIGH
euroleague_partizan,euroleague,Partizan Mozzart Bet Belgrade,PAR2,Partizan,,,RS,,,1945,,,,,,,,Q912247,KK Partizan,,2026-09-19,https://www.wikidata.org/wiki/Q912247,HIGH
euroleague_real_madrid,euroleague,Real Madrid,RM,Real Madrid,,,ES,,,1931,,,,,,,,Q54922,Real Madrid Baloncesto,,2026-09-19,https://www.wikidata.org/wiki/Q54922,HIGH
euroleague_valencia,euroleague,Valencia Basket,VAL,Valencia,,,ES,,,1986,,,,,,,,Q54940,Valencia Basket,,2026-09-19,https://www.wikidata.org/wiki/Q54940,HIGH
euroleague_virtus,euroleague,Virtus Segafredo Bologna,VB,Virtus Bologna,,,IT,,,1927,,,,,,,,Q36264,Virtus Bologna,,2026-09-19,https://www.wikidata.org/wiki/Q36264,HIGH
euroleague_zalgiris,euroleague,Žalgiris Kaunas,ŽAL,Žalgiris,,,LT,,,1944,,,,,,,,Q393357,BC Žalgiris,,2026-09-19,https://www.wikidata.org/wiki/Q393357,HIGH
euroleague_women_fenerbahce,euroleague_women,Fenerbahçe Tarfin,FEN,Fenerbahçe,,,TR,,,1954,,,,,,,,Q1404649,Fenerbahçe S.K. (women's basketball),,2026-09-19,https://www.wikidata.org/wiki/Q1404649,HIGH
euroleague_women_galatasaray,euroleague_women,Galatasaray Çağdaş Faktoring,GAL,Galatasaray,,,TR,,,1905,,,,,,,,Q65413,Galatasaray S.K. (women's basketball),,2026-09-19,https://www.wikidata.org/wiki/Q65413,HIGH
euroleague_women_valencia,euroleague_women,Valencia Basket,VAL,Valencia,,,ES,,,,,,,,,,,Q60464673,Valencia Basket (women),,2026-09-19,https://www.wikidata.org/wiki/Q60464673,HIGH
euroleague_women_zaragoza,euroleague_women,Casademont Zaragoza,ZAR,Zaragoza,,,ES,,,,,,,,,,,Q118949146,,,2026-09-19,https://www.wikidata.org/wiki/Q118949146,MEDIUM
euroleague_women_basket_landes,euroleague_women,Basket Landes,LAN,Landes,,,FR,,,2003,,,,,,,,Q2887227,Basket Landes,,2026-09-19,https://www.wikidata.org/wiki/Q2887227,HIGH
euroleague_women_bourges,euroleague_women,Tango Bourges Basket,BOU,Bourges,,,FR,,,1967,,,,,,,,Q616041,Tango Bourges Basket,,2026-09-19,https://www.wikidata.org/wiki/Q616041,HIGH
euroleague_women_usk_praha,euroleague_women,ZVVZ USK Praha,UP,USK Praha,,,CZ,,,1953,,,,,,,,Q3547347,USK Praha (women's basketball),,2026-09-19,https://www.wikidata.org/wiki/Q3547347,HIGH
euroleague_women_schio,euroleague_women,Beretta Famila Schio,SCH,Schio,,,IT,,,1973,,,,,,,,Q3064877,PF Schio,,2026-09-19,https://www.wikidata.org/wiki/Q3064877,HIGH
euroleague_women_lublin,euroleague_women,AZS UMCS Lublin,LUB,Lublin,,,PL,,,,,,,,,,,Q16485007,,,2026-09-19,https://www.wikidata.org/wiki/Q16485007,MEDIUM
euroleague_women_athinaikos,euroleague_women,Athinaikos Qualco,ATH,Athinaikos,,,GR,,,1917,,,,,,,,Q7562428,Athinaikos women's basketball,,2026-09-19,https://www.wikidata.org/wiki/Q7562428,HIGH
euroleague_women_rapid_bucuresti,euroleague_women,CS Rapid București,RAP,Rapid,,,RO,,,1934,,,,,,,,Q7947062,CS Rapid București (women's basketball),,2026-09-19,https://www.wikidata.org/wiki/Q7947062,HIGH
euroleague_women_emlak_konut,euroleague_women,Emlak Konut,EK,Emlak Konut,,,,,,,,,,,,,,Q97218186,Emlak Konut SK,,2026-09-19,https://www.wikidata.org/wiki/Q97218186,HIGH
euroleague_women_girona,euroleague_women,Spar Girona,GIR,Girona,,,ES,,,2005,,,,,,,,Q4890678,Uni Girona CB,,2026-09-19,https://www.wikidata.org/wiki/Q4890678,HIGH
euroleague_women_flammes_carolo,euroleague_women,Flammes Carolo Basket,FC,Flammes Carolo,,,FR,,,2002,,,,,,,,Q3073321,Flammes Carolo Basket,,2026-09-19,https://www.wikidata.org/wiki/Q3073321,HIGH
euroleague_women_zabiny_brno,euroleague_women,Žabiny Brno,ŽB,Žabiny Brno,,,CZ,,,1993,,,,,,,,Q2887247,Žabiny Brno,,2026-09-19,https://www.wikidata.org/wiki/Q2887247,HIGH
euroleague_women_reyer_venezia,euroleague_women,Umana Reyer Venezia,RV,Reyer Venezia,,,IT,,,1925,,,,,,,,Q2887228,Reyer Venezia (women),,2026-09-19,https://www.wikidata.org/wiki/Q2887228,HIGH
euroleague_women_dvtk,euroleague_women,DVTK HUN-Therm,DVT,DVTK,,,HU,,,1946,,,,,,,,Q5205520,Diósgyőri VTK (basketball),,2026-09-19,https://www.wikidata.org/wiki/Q5205520,HIGH
euroleague_women_sopron,euroleague_women,Sopron Basket,SOP,Sopron,,,HU,,,1921,,,,,,,,Q3547259,Sopron Basket,,2026-09-19,https://www.wikidata.org/wiki/Q3547259,HIGH
euroleague_women_azs_poznan,euroleague_women,AZS Poznań,AP,AZS Poznań,,,PL,,,1919,,,,,,,,Q2819636,AZS Poznań (women's basketball),,2026-09-19,https://www.wikidata.org/wiki/Q2819636,HIGH
euroleague_women_panathinaikos,euroleague_women,Panathinaikos AC,PAN,Panathinaikos,,,GR,,,1908,,,,,,,,Q3191319,Panathinaikos women's basketball,,2026-09-19,https://www.wikidata.org/wiki/Q3191319,HIGH
euroleague_women_kibirkstis,euroleague_women,Kibirkštis-TOKS,KIB,Kibirkštis,,,LT,,,1961,,,,,,,,Q3552971,BC Kibirkštis,,2026-09-19,https://www.wikidata.org/wiki/Q3552971,HIGH
euroleague_women_crvena_zvezda,euroleague_women,KKZ Crvena zvezda,CZ,Crvena zvezda,,,RS,,,1945,,,,,,,,Q1196018,ŽKK Crvena zvezda,,2026-09-19,https://www.wikidata.org/wiki/Q1196018,HIGH
liga_acb_andorra,liga_acb,MoraBanc Andorra,AND,Andorra,,,,,,1970,,,,,,,,Q43973,BC Andorra,,2026-09-19,https://www.wikidata.org/wiki/Q43973,HIGH
liga_acb_barcelona,liga_acb,Barça,BAR,Barcelona,,,ES,,,1926,,,,,,,,Q54893,FC Barcelona Bàsquet,,2026-09-19,https://www.wikidata.org/wiki/Q54893,HIGH
liga_acb_baskonia,liga_acb,Kosner Baskonia,BAS,Baskonia,Club Deportivo Vasconia,,ES,,,1952,,,,,,,,Q54927,Saski Baskonia,,2026-09-19,https://www.wikidata.org/wiki/Q54927,HIGH
liga_acb_bilbao,liga_acb,Surne Bilbao Basket,BIL,Bilbao,,,ES,,,2000,,,,,,,,Q54894,Bilbao Basket,,2026-09-19,https://www.wikidata.org/wiki/Q54894,HIGH
liga_acb_breogan,liga_acb,Río Breogán,BRE,Breogán,,,ES,,,1966,,,,,,,,Q273733,CB Breogán,,2026-09-19,https://www.wikidata.org/wiki/Q273733,HIGH
liga_acb_burgos,liga_acb,Recoletas Salud San Pablo Burgos,BUR,Burgos,,,ES,,,2015,,,,,,,,Q20936645,CB San Pablo Burgos,,2026-09-19,https://www.wikidata.org/wiki/Q20936645,HIGH
liga_acb_coruna,liga_acb,Leyma Coruña,COR,Coruña,,,ES,,,1996,,,,,,,,Q3392591,Básquet Coruña,,2026-09-19,https://www.wikidata.org/wiki/Q3392591,HIGH
liga_acb_girona,liga_acb,FIATC Girona,GIR,Girona,,,ES,,,2014,,,,,,,,Q47524454,Bàsquet Girona,,2026-09-19,https://www.wikidata.org/wiki/Q47524454,HIGH
liga_acb_joventut,liga_acb,ASISA Joventut,JOV,Joventut,Penya Spirit of Badalona,,ES,,,1930,,,,,,,,Q54908,Joventut Badalona,,2026-09-19,https://www.wikidata.org/wiki/Q54908,HIGH
liga_acb_lleida,liga_acb,iLERNA Lleida,LLE,Lleida,,,ES,,,2012,,,,,,,,Q5473322,Força Lleida CE,,2026-09-19,https://www.wikidata.org/wiki/Q5473322,HIGH
liga_acb_manresa,liga_acb,Kids&Us Manresa,MAN,Manresa,,,ES,,,1931,,,,,,,,Q54912,Bàsquet Manresa,,2026-09-19,https://www.wikidata.org/wiki/Q54912,HIGH
liga_acb_murcia,liga_acb,UCAM Murcia,MUR,Murcia,UCAM Murcia CB,,ES,,,1985,,,,,,,,Q54915,UCAM Murcia CB,,2026-09-19,https://www.wikidata.org/wiki/Q54915,HIGH
liga_acb_obradoiro,liga_acb,Monbus Obradoiro,OBR,Obradoiro,,,ES,,,1970,,,,,,,,Q54918,Obradoiro CAB,,2026-09-19,https://www.wikidata.org/wiki/Q54918,HIGH
liga_acb_real_madrid,liga_acb,Real Madrid,RM,Real Madrid,,,ES,,,1931,,,,,,,,Q54922,Real Madrid Baloncesto,,2026-09-19,https://www.wikidata.org/wiki/Q54922,HIGH
liga_acb_tenerife,liga_acb,La Laguna Tenerife,TEN,Tenerife,,,ES,,,1939,,,,,,,,Q54897,CB Canarias,,2026-09-19,https://www.wikidata.org/wiki/Q54897,HIGH
liga_acb_unicaja,liga_acb,Unicaja,UNI,Unicaja,,,ES,,,1992,,,,,,,,Q54910,Baloncesto Málaga,,2026-09-19,https://www.wikidata.org/wiki/Q54910,HIGH
liga_acb_valencia,liga_acb,Valencia Basket,VAL,Valencia,,,ES,,,1986,,,,,,,,Q54940,Valencia Basket,,2026-09-19,https://www.wikidata.org/wiki/Q54940,HIGH
liga_acb_zaragoza,liga_acb,Casademont Zaragoza,ZAR,Zaragoza,,,ES,,,2002,,,,,,,,Q54926,Basket Zaragoza,,2026-09-19,https://www.wikidata.org/wiki/Q54926,HIGH
lnb_elite_asvel,lnb_elite,LDLC ASVEL Villeurbanne,ASV,ASVEL,ASVEL BASKET,,FR,,,1948,,,,,,,,Q4089,ASVEL Basket,,2026-09-19,https://www.wikidata.org/wiki/Q4089,HIGH
lnb_elite_gravelines,lnb_elite,BCM Gravelines-Dunkerque,GRA,Gravelines,,,FR,,,1984,,,,,,,,Q795707,BCM Gravelines-Dunkerque,,2026-09-19,https://www.wikidata.org/wiki/Q795707,HIGH
lnb_elite_boulazac,lnb_elite,Boulazac Basket Dordogne,BOU,Boulazac,,,FR,,,1992,,,,,,,,Q785442,Boulazac Basket Dordogne,,2026-09-19,https://www.wikidata.org/wiki/Q785442,HIGH
lnb_elite_cholet,lnb_elite,Cholet Basket,CHO,Cholet,,,FR,,,1975,,,,,,,,Q1075934,Cholet Basket,,2026-09-19,https://www.wikidata.org/wiki/Q1075934,HIGH
lnb_elite_roanne,lnb_elite,Chorale Roanne Basket,ROA,Roanne,,,FR,,,1937,,,,,,,,Q1076356,Chorale Roanne Basket,,2026-09-19,https://www.wikidata.org/wiki/Q1076356,HIGH
lnb_elite_pau,lnb_elite,Élan Béarnais Pau-Lacq-Orthez,PAU,Pau-Orthez,,,FR,,,1931,,,,,,,,Q274566,Élan Béarnais,,2026-09-19,https://www.wikidata.org/wiki/Q274566,HIGH
lnb_elite_chalon,lnb_elite,Élan Chalon,CHA,Chalon,,,FR,,,1955,,,,,,,,Q274570,Élan Chalon,,2026-09-19,https://www.wikidata.org/wiki/Q274570,HIGH
lnb_elite_dijon,lnb_elite,JDA Dijon,DIJ,Dijon,,,FR,,,1880,,,,,,,,Q1682230,JDA Dijon Basket,,2026-09-19,https://www.wikidata.org/wiki/Q1682230,HIGH
lnb_elite_bourg,lnb_elite,JL Bourg,BOU2,Bourg,Jeunesse laïque de Bourg-en-Bresse,,FR,,,1910,,,,,,,,Q1630650,JL Bourg Basket,,2026-09-19,https://www.wikidata.org/wiki/Q1630650,HIGH
lnb_elite_le_mans,lnb_elite,Le Mans Sarthe Basket,LM,Le Mans,,,FR,,,1939,,,,,,,,Q40063,Le Mans Sarthe Basket,,2026-09-19,https://www.wikidata.org/wiki/Q40063,HIGH
